Zona;Sede;Año;Mes;Ingresos;Costos;Ut_Bruta;Ut_Operativa;Empl_Operativo;Hrs_Reales;Hrs_Posibles;Nivel_rentab
Zonas Secundarias;Medellin Colision;2024;jun;689076488;363611997;325464491;17537572;39;5488;5840;Baja
Zonas Secundarias;Medellin Colision;2024;jul;1038888473;565333169;473555304;48020334;38;9032;5680;Baja
Zonas Secundarias;Medellin Colision;2024;ago;832405837;477073518;355332319;34358631;39;6777;5840;Baja
Zonas Secundarias;Medellin Colision;2024;sep;850705214;482020233;368684981;158291;41;7550;6480;Perdida
Zonas Secundarias;Medellin Colision;2024;oct;956390518;461984611;494405907;157950701;41;8229;6280;Baja
Zonas Secundarias;Medellin Colision;2024;nov;743169158;470573843;272595315;-56675971;41;6725;6280;Perdida
Zonas Secundarias;Medellin Colision;2024;dic;754237717;469789162;284448555;-130414776;40;6445;6080;Perdida
Zonas Secundarias;Medellin Nutibara;2021;ene;320040525;137433381;182607144;84038147;16;2097;2380;Media
Zonas Secundarias;Medellin Nutibara;2021;feb;367150739;166053906;201096833;76224231;18;2372;2700;Baja
Zonas Secundarias;Medellin Nutibara;2021;mar;394170709;164105570;230065139;98019995;18;2485;2700;Media
Zonas Secundarias;Medellin Nutibara;2021;abr;285676561;141978437;143698124;22225502;18;1834;2700;Baja
Zonas Secundarias;Medellin Nutibara;2021;may;333379584;165045894;168333690;47860611;17;2061;2540;Baja
Zonas Secundarias;Medellin Nutibara;2021;jun;304102573;141955010;162147563;24483332;16;1962;2540;Baja
Zonas Secundarias;Medellin Nutibara;2021;jul;428522663;191155570;237367093;106918326;16;2531;2540;Media
Zonas Secundarias;Medellin Nutibara;2021;ago;392685660;181087775;211597885;60138967;16;2470;2540;Baja
Zonas Secundarias;Medellin Nutibara;2021;sep;396179918;177968649;218211269;53896669;16;2572;2540;Baja
Zonas Secundarias;Medellin Nutibara;2021;oct;420307884;191162335;229145549;87591705;16;2632;2540;Baja
Zonas Secundarias;Medellin Nutibara;2021;nov;447925091;202072279;245852812;90832648;18;2840;2860;Baja
Zonas Secundarias;Medellin Nutibara;2021;dic;465172998;226732961;238440037;61353270;18;2803;2860;Baja
Zonas Secundarias;Medellin Nutibara;2022;ene;389650528;195491828;194158700;58302629;19;2352;3020;Baja
Zonas Secundarias;Medellin Nutibara;2022;feb;408038435;188110516;219927919;64186815;19;2784;3020;Baja
Zonas Secundarias;Medellin Nutibara;2022;mar;486808342;228239294;258569048;126046869;18;2966;2860;Media
Zonas Secundarias;Medellin Nutibara;2022;abr;366758119;174801071;191957048;58380008;18;2238;2860;Baja
Zonas Secundarias;Medellin Nutibara;2022;may;436345666;232764055;203581611;67594866;18;2522;2950;Baja
Zonas Secundarias;Medellin Nutibara;2022;jun;419346634;202380273;216966361;57032433;18;2551;2950;Baja
Zonas Secundarias;Medellin Nutibara;2022;jul;348652595;189396893;159255702;25690969;19;2168;2950;Baja
Zonas Secundarias;Medellin Nutibara;2022;ago;377381885;208155537;169226348;26451413;20;1940;2950;Baja
Zonas Secundarias;Medellin Nutibara;2022;sep;365031086;202915060;162116026;27275413;20;1912;2950;Baja
Zonas Secundarias;Medellin Nutibara;2022;oct;362027359;183096897;178930462;57822353;20;1640;2950;Baja
Zonas Secundarias;Medellin Nutibara;2022;nov;335482167;186794380;148687787;7110979;18;1687;2950;Baja
Zonas Secundarias;Medellin Nutibara;2022;dic;459605584;226430906;233174678;58080588;21;2341;2950;Baja
Zonas Secundarias;Medellin Nutibara;2023;ene;378411826;190108868;188302958;51316994;20;1735;2950;Baja
Zonas Secundarias;Medellin Nutibara;2023;feb;330799993;180037498;150762495;3559124;20;1570;2950;Baja
Zonas Secundarias;Medellin Nutibara;2023;mar;397108022;225112585;171995437;-30023007;21;1826;3110;Perdida
Zonas Secundarias;Medellin Nutibara;2023;abr;314340914;176807592;137533322;-39261730;20;1513;2950;Perdida
Zonas Secundarias;Medellin Nutibara;2023;may;446260216;256345109;189915107;7655189;19;2001;2790;Baja
Zonas Secundarias;Medellin Nutibara;2023;jun;353815621;197417738;156397883;-41846389;18;1583;2790;Perdida
Zonas Secundarias;Medellin Nutibara;2023;jul;331499091;177840337;153658754;-1041935;17;1537;2630;Perdida
Zonas Secundarias;Medellin Nutibara;2023;ago;445949612;221508555;224441057;62623976;16;2029;2310;Baja
Zonas Secundarias;Medellin Nutibara;2023;sep;297250563;137544342;159706221;14701737;16;1211;2310;Baja
Zonas Secundarias;Medellin Nutibara;2023;oct;379404908;197752546;181652362;-129289;16;1624;2310;Perdida
Zonas Secundarias;Medellin Nutibara;2023;nov;313511969;169707432;143804537;-10192334;15;1323;2150;Perdida
Zonas Secundarias;Medellin Nutibara;2023;dic;465610133;208800267;256809866;112909964;15;1939;2150;Media
Zonas Secundarias;Medellin Nutibara;2024;ene;383806075;183759981;200046094;56464237;14;1680;2150;Baja
Zonas Secundarias;Medellin Nutibara;2024;feb;414034043;224426504;189607539;11540073;15;1706;2470;Baja
Zonas Secundarias;Medellin Nutibara;2024;mar;299274463;166546970;132727493;-22351421;15;1289;2470;Perdida
