Zona,Sede,Año,Mes,Ingresos,Costo_mat_prima,Costo_M.Obra,Utilidad_Bruta,Gastos_operativos,Gastos_personal,Ut_Operacional,Empl_Admon,Empl_Operativo,Ordenes,Hrs_Ejecutadas,Capac_Hrs,Mg_Bruto,Mg_Operacional
Zonas Secundarias,Ibagué TASA Taller,2024,ene,243234939,48576938,83188200,111469801,78987588,36316558,-3834345,7,14,373,1741,1840,0.4582803829839594,-0.01576395650955392
Zonas Secundarias,Ibagué TASA Taller,2024,feb,266520718,51347598,100439077,114734043,96580740,39239613,-21086310,8,15,364,2142,2000,0.4304882707092212,-0.07911696380766917
Zonas Secundarias,Ibagué TASA Taller,2024,mar,271438658,63068110,97083788,111286760,38166020,51548803,21571937,8,15,387,1948,2000,0.40998861702300343,0.07947260408279797
Zonas Secundarias,Ibagué TASA Taller,2024,abr,243452422,53926493,74834361,114691568,80832104,36554895,-2695431,7,15,378,1705,2000,0.4711046497619153,-0.01107169515035673
Zonas Secundarias,Ibagué TASA Taller,2024,may,276486178,53010938,103385984,120089256,58303150,36826700,24959406,7,15,361,1700,2000,0.4343409022059685,0.09027361215865193
Zonas Secundarias,Ibagué TASA Taller,2024,jun,254200045,55060401,92355791,106783853,60029866,25284078,21469909,6,15,337,1815,2000,0.42007802555660445,0.0844606813503908
Zonas Secundarias,Ibagué TASA Taller,2024,jul,251449463,45409867,101423814,104615782,60732403,44986833,-1103454,5,14,356,1990,2000,0.4160509263048217,-0.004388372863615939
Zonas Secundarias,Ibagué TASA Taller,2024,ago,318624050,61576584,111603928,145443538,68689609,31445794,45308135,5,14,411,2365,2000,0.45647382236212236,0.1421993568909817
Zonas Secundarias,Ibagué TASA Taller,2024,sep,362135105,88766389,108171186,165197530,71810903,36056556,57330071,6,14,373,2592,2000,0.45617651456353564,0.15831127722345503
Zonas Secundarias,Ibagué TASA Taller,2024,oct,325281601,64743212,89834404,170703985,65440730,24622393,80640862,6,14,370,2326,2000,0.5247883202591591,0.24791092318805943
Zonas Secundarias,Ibagué TASA Taller,2024,nov,339641228,71347973,98806224,169487031,78476842,41617265,49392924,7,14,356,2283,2000,0.4990178371396066,0.145426761912426
